#node1	node2	node1_string_id	node2_string_id	homology	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
Atic	Mthfd1	10090.ENSMUSP00000027384	10090.ENSMUSP00000021443	0	0	0.900	0.447	0.942
Atic	Gart	10090.ENSMUSP00000027384	10090.ENSMUSP00000023684	0	0	0.900	0.129	0.909
Atic	Mthfd1l	10090.ENSMUSP00000027384	10090.ENSMUSP00000112897	0	0	0.900	0.447	0.942
Brd4	Mthfd1	10090.ENSMUSP00000003726	10090.ENSMUSP00000021443	0	0	0	0.838	0.838
Gart	Mthfd1	10090.ENSMUSP00000023684	10090.ENSMUSP00000021443	0	0.058	0.900	0.132	0.911
Gart	Mthfd1l	10090.ENSMUSP00000023684	10090.ENSMUSP00000112897	0	0.058	0.900	0.132	0.911
Mthfd1	Mthfd2	10090.ENSMUSP00000021443	10090.ENSMUSP00000005810	0	0	0.900	0.132	0.909
Mthfd1	Mthfd1l	10090.ENSMUSP00000021443	10090.ENSMUSP00000112897	0	0	0.900	0	0.900
Mthfd1	Mthfd2l	10090.ENSMUSP00000021443	10090.ENSMUSP00000071578	0	0	0.900	0.261	0.922
Mthfd2	Mthfd2l	10090.ENSMUSP00000005810	10090.ENSMUSP00000071578	0	0.125	0.900	0.118	0.916
